input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
ACS,ACS,q,N/A,N/A,N/A,,ERR,,none
Susun Construction Group,Susun Construction Group,q,N/A,N/A,N/A,,ERR,,none
China Huadian,China Huadian,q,N/A,N/A,N/A,,ERR,,none
George Weston,George Weston,q,N/A,N/A,N/A,,ERR,,none
Orange,Orange,q,N/A,N/A,N/A,,ERR,,none
ZF Friedrichshafen,ZF Friedrichshafen,q,N/A,N/A,N/A,,ERR,,none
Telefonica,Telefonica,q,N/A,N/A,N/A,,ERR,,none
Tokyo Electric Power,Tokyo Electric Power,q,N/A,N/A,N/A,,ERR,,none
Woolworths Group,Woolworths Group,q,N/A,N/A,N/A,,ERR,,none
Vodafone Group,Vodafone Group,q,N/A,N/A,N/A,,ERR,,none
Uber Technologies,Uber Technologies,q,N/A,N/A,N/A,,ERR,,none
Quanta Computer,Quanta Computer,q,N/A,N/A,N/A,,ERR,,none
Fomento Econ�mico Mexicano,Fomento Econ�mico Mexicano,q,N/A,N/A,N/A,,ERR,,none
MS&AD Insurance Group Holdings,MS&AD Insurance Group Holdings,q,N/A,N/A,N/A,,ERR,,none
China National Building Material Group,China National Building Material Group,q,N/A,N/A,N/A,,ERR,,none
Sinomach,Sinomach,q,N/A,N/A,N/A,,ERR,,none
DZ Bank,DZ Bank,q,N/A,N/A,N/A,,ERR,,none
Massachusetts Mutual Life Insurance,Massachusetts Mutual Life Insurance,q,N/A,N/A,N/A,,ERR,,none
Dow,Dow,q,N/A,N/A,N/A,,ERR,,none
ANZ Group Holdings,ANZ Group Holdings,q,N/A,N/A,N/A,,ERR,,none
Continental,Continental,q,N/A,N/A,N/A,,ERR,,none
Commonwealth Bank of Australia,Commonwealth Bank of Australia,q,N/A,N/A,N/A,,ERR,,none
Thermo Fisher Scientific,Thermo Fisher Scientific,q,N/A,N/A,N/A,,ERR,,none
Magna International,Magna International,q,N/A,N/A,N/A,,ERR,,none
