input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
Mercadona,Mercadona,q,N/A,N/A,N/A,,200
Honeywell International,Honeywell International,q,N/A,N/A,N/A,,200
Hangzhou Iron and Steel Group,Hangzhou Iron and Steel Group,q,N/A,N/A,N/A,,200
Guangzhou Industrial Investment Holdings,Guangzhou Industrial Investment Holdings,q,N/A,N/A,N/A,,200
Shanghai Pharmaceuticals Holding,Shanghai Pharmaceuticals Holding,q,N/A,N/A,N/A,,200
Suzuki Motor,Suzuki Motor,q,N/A,N/A,N/A,,200
Vale,Vale,q,N/A,N/A,N/A,,200
ThyssenKrupp,ThyssenKrupp,q,N/A,N/A,N/A,,200
Salesforce,Salesforce,q,N/A,N/A,N/A,,200
Philip Morris International,Philip Morris International,q,N/A,N/A,N/A,,200
